fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	bagging_fraction	lambda_l1	lambda_l2	min_gain_to_split	ganancia	iteracion
20221002 213632	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	114	TRUE	309367	0.0631573031800548	0.785438365118933	6500	889	8307	0.277046511146	3.9542646362808	2.12663696854001	0.0350998092391533	25870000	38
20221002 213741	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	117	TRUE	309367	0.0354931418539192	0.627102220055778	3076	571	8641	0.225257362479352	0.722199640586033	2.68809335505584	0.0154221900518356	26560000	39
20221002 214001	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	411	TRUE	309367	0.00997145536558457	0.858022435227458	3334	724	7892	0.239144918374747	2.19696958234316	2.84845099571618	0.0580903044242684	25580000	40
20221002 214040	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	82	TRUE	309367	0.0815544540130154	0.571906327361315	4148	714	8594	0.255787109513625	3.85878686814831	2.62288689921658	0.00629325255768864	26100000	41
20221002 214127	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	161	TRUE	309367	0.0642141159499044	0.28645399391476	5394	659	8633	0.226504942887069	1.77655165104578	2.54712223067911	0.0121335301378859	26660000	42
20221002 214232	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	171	TRUE	309367	0.0426511667607931	0.52706150219423	5507	870	8557	0.262429244793103	1.09992747694412	2.54038543650029	0.0109158365742779	26490000	43
20221002 214323	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	167	TRUE	309367	0.0418333400923949	0.701621990047242	4100	337	8497	0.379763973283806	2.38586783245788	2.40455767007958	0.0180114308298462	26210000	44
20221002 214405	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	127	TRUE	309367	0.0772427806087657	0.340900221639726	3859	762	8373	0.202991530263118	1.96447152798346	2.29798979545783	0.0184899684606816	25900000	45
20221002 214503	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	151	TRUE	309367	0.0350844256466387	0.350793191869655	5333	656	9065	0.210431591585404	2.38658149590706	2.688779378823	0.0136271791734686	26510000	46
20221002 214537	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	84	TRUE	309367	0.12672050632406	0.252314918096028	6930	605	9113	0.25680990801819	1.3759709573655	2.68866887690515	0.020860143693	25780000	47
20221002 214638	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	240	TRUE	309367	0.0445702647662257	0.257983426988666	6656	645	8592	0.285539444855576	1.24053291025853	2.11510482344051	0.0173100640511625	26020000	48
20221002 214743	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	319	TRUE	309367	0.0661905661131816	0.759537710908944	4960	594	8244	0.213810446256775	3.57838235208978	2.89378489201518	0.0598430177829345	26640000	49
20221002 214836	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	149	TRUE	309367	0.0562309638959055	0.437067085112615	5334	632	8063	0.213137183672082	1.55175947259652	2.91815217985584	0.0178555559142413	26280000	50
20221002 214919	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	150	TRUE	309367	0.0664005344613512	0.93834294902272	4326	640	8422	0.406978048046812	3.87215252921327	2.6009722184343	0.0675744431081758	25800000	51
20221002 214948	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	82	TRUE	309367	0.0894967460032449	0.65004215921181	4303	562	7733	0.633428205380955	4.42652081146785	2.96799066467655	0.0565726887584633	26060000	52
20221002 215054	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	185	TRUE	309367	0.0446435104541772	0.499385841332082	4908	291	8264	0.200075493637498	1.90626173763281	2.62200291379589	0.0256217021316401	26680000	53
20221002 215117	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	45	TRUE	309367	0.212335874266224	0.47322256537461	6680	855	8826	0.200810073889281	3.66978789173025	1.90374113071818	0.0261133954547333	26110000	54
