fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221029 123846	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	123	1	1	1	0.1	50	0.5	FALSE	309367	0.0798419780459651	0.545720048111817	0.684364118517039	7.17604662400787	0.00799587022421219	16839	13362000	75
20221029 123926	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	41	1	1	1	0.1	50	0.5	FALSE	309367	0.116036033596417	0.481888497036183	0.732634374191775	8.46326878417353	0.02989670827841	16024	14352000	76
20221029 123959	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	53	1	1	1	0.1	50	0.5	FALSE	309367	0.18207962121903	0.221366063197097	0.63364950934411	10.1740867189337	0.0112909400076622	15532	16936000	77
20221029 124153	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	240	1	1	1	0.1	50	0.5	FALSE	309367	0.0293452862637583	0.463450715642655	0.910009304568905	9.48695461995434	0.0103561515203222	15497	16366000	78
20221029 124220	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	171	1	1	1	0.1	50	0.5	FALSE	309367	0.087278788903465	0.229695216819458	0.208989409714576	4.28072395047499	0.025676057074621	15552	15696000	79
20221029 124244	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	10	1	1	1	0.1	50	0.5	FALSE	309367	0.295965095200981	0.639344251793763	0.702603690905578	8.09655737912212	0.0586686283232122	15381	14038000	80
20221029 124311	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	0.1	50	0.5	FALSE	309367	0.0846694386525685	0.217215067267418	0.547677398254396	5.60849636198208	0.0336027934203594	17284	14552000	81
20221029 124400	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	314	1	1	1	0.1	50	0.5	FALSE	309367	0.0309210862148367	0.324156196942646	0.587335042589367	4.96232893140498	0.02902412137334	16221	16118000	82
20221029 124446	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	252	1	1	1	0.1	50	0.5	FALSE	309367	0.109027036424037	0.214301142193796	0.8550092397128	7.43808567858418	0.00112171237905602	17082	14716000	83
20221029 124542	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	90	1	1	1	0.1	50	0.5	FALSE	309367	0.0521238604218303	0.456272695321543	0.721272856847243	8.75963696058141	0.0247103182659478	16685	14790000	84
20221029 124603	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	90	1	1	1	0.1	50	0.5	FALSE	309367	0.144017240739102	0.677914421593025	0.637594276092912	4.22694073603977	0.0207453126535179	16218	14444000	85
20221029 124620	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	55	1	1	1	0.1	50	0.5	FALSE	309367	0.25908900681935	0.763069950927282	0.200471970753767	5.2379913478205	0.0178198495388281	16355	13370000	86
20221029 124733	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1325	1	1	1	0.1	50	0.5	FALSE	309367	0.0230268105494417	0.658207713417383	0.938084655722254	2.1242617797174	0.0189246109306354	18475	10330000	87
20221029 124811	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	10	1	1	1	0.1	50	0.5	FALSE	309367	0.218373495685586	0.600150149834808	0.911776904202951	8.19838936858065	0.0952925623562027	14080	16320000	88
20221029 124841	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	83	1	1	1	0.1	50	0.5	FALSE	309367	0.134734131598892	0.45905048265513	0.362381438416254	6.26950761941308	0.015020606676147	16519	13362000	89
20221029 124911	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	46	1	1	1	0.1	50	0.5	FALSE	309367	0.244442260515247	0.312592907149205	0.283690228447225	9.07176113498863	0.0103359897783376	15960	16480000	90
20221029 124950	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	157	1	1	1	0.1	50	0.5	FALSE	309367	0.188870701226913	0.274000977367442	0.65299706779893	8.98709329577396	2.88096512606433e-05	18061	14118000	91
20221029 125021	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	157	1	1	1	0.1	50	0.5	FALSE	309367	0.226979625811109	0.341694753835443	0.875408239381539	2.32007212061109	0.016567003830407	19417	9726000	92
20221029 125047	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	18	1	1	1	0.1	50	0.5	FALSE	309367	0.272317883569095	0.5074660522338	0.668551731022529	6.14780932019162	0.0345810691242586	15474	16252000	93
20221029 125154	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	238	1	1	1	0.1	50	0.5	FALSE	309367	0.110413009168997	0.731429721930856	0.876805096449971	9.40460222744546	1.72720516141498e-06	16798	13124000	94
