fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220926 205727	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	865	TRUE	309367	0.00509550794747595	0.794071242823175	877	529	9232	26900000	56
20220926 210508	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2149	TRUE	309367	0.00524670923791563	0.471154189863984	1230	616	8634	27380000	57
20220926 210729	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	143	TRUE	309367	0.0314726087079317	0.560882887560014	88	996	8748	26830000	58
20220926 211005	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	245	TRUE	309367	0.0345458499548199	0.632209112312505	59	890	9465	27310000	59
20220926 211852	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2555	TRUE	309367	0.00569188267823138	0.516707380264785	1167	994	8723	27360000	60
20220926 212612	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2134	TRUE	309367	0.00678860240794555	0.465137195402766	1137	949	9756	27130000	61
20220926 212748	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	299	TRUE	309367	0.0263087073753047	0.588222095112357	597	950	8342	2.7e+07	62
20220926 213456	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	731	TRUE	309367	0.00550508124754299	0.712712790546896	253	674	9382	27160000	63
20220926 213945	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1273	TRUE	309367	0.00503895997497508	0.690955348296628	1330	818	9089	26950000	64
20220926 214419	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1057	TRUE	309367	0.0067524951877942	0.506629415717566	1299	597	8041	26800000	65
20220926 215130	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1833	TRUE	309367	0.00511563297482315	0.534014754883196	1219	699	9400	27040000	66
20220926 215557	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	836	TRUE	309367	0.00528016642717256	0.467980336080065	1535	986	8859	26930000	67
